"","X","PLOT","P.NP","No.Plants.est","No.Stems","Senescence","Treatment","Sowing","Location","M.Height","M.Thickness","M.Leaves","Year","BioM.Index","BioM.Index_NA","Harvist","Harvist_NA","DW","DW_NA","MC","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43","Temp1","Temp5","Temp15","Temp40","Wat1","Wat5","Wat15","Wat40"
"75","V76",38,"P",1,1,7,"none",1,"Aber",6,3,4,"2013 Dat",6,6,NA,NA,NA,NA,NA,0,0,4,4,NA,8.35451470588235,8.62577597402597,9.59923898678414,NA,0.0719264705882353,0.0914772727272727,0.0855055066079295
"76","V77",38,"NP",3,5,4,"none",1,"Aber",6,3,4,"2013 Dat",30,30,NA,NA,NA,NA,NA,0,0,3.333333333,3.333333333,NA,8.35451470588235,8.62577597402597,9.59923898678414,NA,0.0719264705882353,0.0914772727272727,0.0855055066079295
"77","V78",39,"NP",0,0,NA,"Film",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,5.333333333,7.5,8.8,11,NA,NA,NA,NA,NA,NA,NA,NA
"78","V79",39,"P",0,0,NA,"Film",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0.666666667,1.25,1.4,1.75,NA,NA,NA,NA,NA,NA,NA,NA
"79","V80",40,"P",1,1,8,"none",6,"Aber",0.5,0.5,3,"2013 Dat",0.5,0.5,NA,NA,NA,NA,NA,0,0.5,0.857142857,0.8,15.0175,15.3524416666667,14.4040944444444,13.3515535714286,0.0450416666666667,0.0537166666666667,0.0473666666666667,0.0519623015873016
"80","V81",40,"NP",0,0,NA,"none",6,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0.25,3.285714286,1,15.0175,15.3524416666667,14.4040944444444,13.3515535714286,0.0450416666666667,0.0537166666666667,0.0473666666666667,0.0519623015873016
"81","V82",41,"P",0,0,NA,"none",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"82","V83",41,"NP",0,0,NA,"none",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0.5,3,3.75,NA,NA,NA,NA,NA,NA,NA,NA
"83","V84",42,"P",0,0,NA,"none",6,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0.25,0.571428571,0.6,15.0175,15.3524416666667,14.4040944444444,13.3515535714286,0.0450416666666667,0.0537166666666667,0.0473666666666667,0.0519623015873016
"84","V85",42,"NP",0,0,NA,"none",6,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,1.75,4.285714286,2.6,15.0175,15.3524416666667,14.4040944444444,13.3515535714286,0.0450416666666667,0.0537166666666667,0.0473666666666667,0.0519623015873016
"85","V86",43,"P",0,0,NA,"Film",1,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.93063235294118,10.6708685064935,12.439015969163,NA,0.10775,0.111506493506494,0.104458149779736
"86","V87",43,"NP",0,0,NA,"Film",1,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0.333333333,0.333333333,NA,9.93063235294118,10.6708685064935,12.439015969163,NA,0.10775,0.111506493506494,0.104458149779736
"87","V88",44,"P",0,0,NA,"none",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0.333333333,0.75,1.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA
"88","V89",44,"NP",0,0,NA,"none",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,2,5,6.25,NA,NA,NA,NA,NA,NA,NA,NA
"89","V90",45,"P",20,75,4,"none",2,"Aber",20,5.875,5.375,"2013 Dat",1500,1500,NA,NA,NA,NA,NA,20.5,23,23.8,22.75,10.194125,9.52255,11.0533305555556,12.0773020833333,0.090875,0.0857916666666667,0.0777861111111111,0.0630322916666667
"90","V91",45,"NP",30,192,2,"none",2,"Aber",12.875,4.375,5,"2013 Dat",2472,2472,NA,NA,NA,NA,NA,63,67.66666667,67.6,67.75,10.194125,9.52255,11.0533305555556,12.0773020833333,0.090875,0.0857916666666667,0.0777861111111111,0.0630322916666667
"91","V92",46,"P",0,0,NA,"Film",7,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,1.666666667,2.6,3.285714286,3.6,12.1834791666667,12.3153125,12.3153125,12.3153125,0.054375,0.109510416666667,0.109510416666667,0.109510416666667
